iter	Logloss
0	0.6830008568
1	0.6729760439
2	0.6629715603
3	0.652633591
4	0.6425564514
5	0.6329864708
6	0.6239416905
7	0.6146085219
8	0.6056226684
9	0.5970376526
10	0.5886725467
11	0.5805277118
12	0.5726294373
13	0.5653361817
14	0.557591202
15	0.5502058341
16	0.5431345351
17	0.5357138985
18	0.5286983092
19	0.5221176726
20	0.515501264
21	0.5090774919
22	0.5029876801
23	0.4970407401
24	0.4916171958
25	0.4861425407
26	0.4808626723
27	0.4753070052
28	0.4700096233
29	0.4650687458
30	0.460360173
31	0.4555145617
32	0.4505326423
33	0.4464411362
34	0.4422985106
35	0.4383835445
36	0.4345168536
37	0.430348514
38	0.4265160972
39	0.4233102747
40	0.4194662981
41	0.4156230004
42	0.4121851165
43	0.4088049859
44	0.4053949144
45	0.4021489554
46	0.398652254
47	0.395251229
48	0.3918284362
49	0.3887916756
50	0.3859938095
51	0.3829889406
52	0.3800894646
53	0.3772486173
54	0.3743303081
55	0.3717456759
56	0.3691001855
57	0.3663201401
58	0.3638979262
59	0.3614831766
60	0.3590348516
61	0.3567038196
62	0.3543745235
63	0.3520886546
64	0.3501898165
65	0.3480542684
66	0.3459272373
67	0.3439344424
68	0.3419968848
69	0.3402343938
70	0.338475376
71	0.3366536274
72	0.3348719258
73	0.332990709
74	0.3311944578
75	0.3297221503
76	0.3279603535
77	0.3261529033
78	0.3247850123
79	0.323330034
80	0.3218509189
81	0.3204239947
82	0.3189381654
83	0.3173687502
84	0.3159774739
85	0.3145216576
86	0.3131760556
87	0.3117218886
88	0.3104185532
89	0.3091984947
90	0.3079394153
91	0.306726361
92	0.30563073
93	0.3043043063
94	0.3031293491
95	0.3018388454
96	0.3007073388
97	0.299510539
98	0.2984010448
99	0.2972606941
100	0.2961885468
101	0.2951255831
102	0.2940954892
103	0.2933109761
104	0.2923597426
105	0.2915151992
106	0.2905456221
107	0.289600794
108	0.2887354141
109	0.2875948707
110	0.2866802536
111	0.2858670109
112	0.2850728419
113	0.284308055
114	0.2835154887
115	0.2827920319
116	0.2820678129
117	0.2812416431
118	0.2804905511
119	0.2796363107
120	0.2788398277
121	0.2781557109
122	0.2774052634
123	0.2766873212
124	0.2760825254
125	0.2753966186
126	0.2748470583
127	0.2742564919
128	0.2736377868
129	0.2730921287
130	0.2724005775
131	0.2718385865
132	0.2712377958
133	0.2706699331
134	0.2700945164
135	0.2694027945
136	0.2687979277
137	0.2681840863
138	0.2676244486
139	0.2670227479
140	0.266592865
141	0.2660304263
142	0.2656083761
143	0.2650429952
144	0.2644716449
145	0.2639649641
146	0.2634417366
147	0.2628935591
148	0.2623361334
149	0.2618422563
150	0.2613287078
151	0.2608310341
152	0.2604176421
153	0.2600256093
154	0.2595261185
155	0.2590488094
156	0.2585492335
157	0.2580728865
158	0.2576446972
159	0.2571632061
160	0.2566676173
161	0.2562990715
162	0.2560709796
163	0.2557061542
164	0.2553606554
165	0.2549896106
166	0.2545877515
167	0.2542173186
168	0.2538068729
169	0.25344543
170	0.2530782513
171	0.252725589
172	0.2523235043
173	0.2519836079
174	0.2516024901
175	0.2512574342
176	0.2507863363
177	0.2504021644
178	0.2500433923
179	0.2497731533
180	0.2494791083
181	0.2491133648
182	0.2487356283
183	0.2484146164
184	0.2479990518
185	0.2476582968
186	0.2472743029
187	0.2469417785
188	0.2466232742
189	0.2462126679
190	0.2458551316
191	0.2455756508
192	0.2452871359
193	0.2449603155
194	0.2446592699
195	0.2443392397
196	0.2440721597
197	0.2437887522
198	0.2434589351
199	0.2430669803
200	0.2427599805
201	0.2424123066
202	0.2421142098
203	0.2417316991
204	0.2414249889
205	0.2412217997
206	0.2409056745
207	0.2406591636
208	0.2404114771
209	0.2401087411
210	0.2399200187
211	0.2397051565
212	0.2394576621
213	0.2392148798
214	0.2388646794
215	0.2384900663
216	0.2382823781
217	0.2380141137
218	0.2377877
219	0.2375288053
220	0.2373595272
221	0.2370204673
222	0.2367469451
223	0.2364714071
224	0.2363396434
225	0.2360999084
226	0.2358521167
227	0.2356383724
228	0.2353468737
229	0.2351331854
230	0.2348645446
231	0.2346484715
232	0.2343839239
233	0.2342232122
234	0.2339404265
235	0.2337342304
236	0.2335020346
237	0.2333127833
238	0.2330758662
239	0.2328522984
240	0.2325782117
241	0.2323065838
242	0.2320950804
243	0.2318750366
244	0.2316731388
245	0.2314437304
246	0.2312294843
247	0.231056192
248	0.2309024965
249	0.2306615858
250	0.2303944174
251	0.2301303071
252	0.2299198333
253	0.2296684493
254	0.2294591775
255	0.2292545463
256	0.2291001314
257	0.2289352899
258	0.2287062452
259	0.2285146305
260	0.2282728467
261	0.228063944
262	0.2278256437
263	0.2275521246
264	0.2272725747
265	0.2270151314
266	0.2268340814
267	0.2266215906
268	0.2264743542
269	0.2262730055
270	0.2260353272
271	0.225828918
272	0.2255906078
273	0.2253714736
274	0.225150444
275	0.2249459292
276	0.2247313679
277	0.2245120107
278	0.2242687786
279	0.2240124288
280	0.223859345
281	0.2236943608
282	0.2235258792
283	0.2233057018
284	0.2230822376
285	0.2228653474
286	0.2226408615
287	0.2223592006
288	0.2222345577
289	0.2220064633
290	0.2217726986
291	0.2215837207
292	0.2214373925
293	0.2212969335
294	0.2210256659
295	0.2208381247
296	0.220685264
297	0.2205089458
298	0.2202728541
299	0.2200799584
300	0.2199013115
301	0.2197542636
302	0.2196279764
303	0.2193867887
304	0.2191355268
305	0.2189666009
306	0.2188121453
307	0.2185686945
308	0.2183111665
309	0.2180883131
310	0.217942887
311	0.2177812625
312	0.2176634169
313	0.2175362799
314	0.2173760997
315	0.2172201428
316	0.2170876145
317	0.2169450087
318	0.2167356804
319	0.2165907245
320	0.2164278733
321	0.2162654247
322	0.2161321507
323	0.2159502633
324	0.215846122
325	0.2157474178
326	0.2156295437
327	0.2154940389
328	0.2152590727
329	0.2150919616
330	0.2149808031
331	0.2148515844
332	0.2147218402
333	0.2145354337
334	0.2143883277
335	0.2142148188
336	0.2141272242
337	0.2139600171
338	0.2137976482
339	0.2135249763
340	0.2133445477
341	0.2132598964
342	0.2131045381
343	0.2129536364
344	0.212828119
345	0.2126510028
346	0.2124822448
347	0.212368042
348	0.2122409989
349	0.2120756522
350	0.2119408422
351	0.2118371492
352	0.2116888372
353	0.2115540527
354	0.2113581197
355	0.2112134114
356	0.2110813828
357	0.2109270122
358	0.2108381544
