iter	Passed	Remaining
0	129	64424
1	201	50128
2	227	37721
3	287	35663
4	349	34552
5	407	33541
6	475	33491
7	537	33040
8	589	32186
9	603	29567
10	656	29175
11	712	28957
12	750	28128
13	759	26376
14	813	26314
15	868	26272
16	920	26152
17	974	26082
18	1034	26195
19	1093	26249
20	1153	26307
21	1207	26230
22	1262	26183
23	1314	26069
24	1368	25999
25	1421	25917
26	1474	25830
27	1529	25786
28	1582	25706
29	1636	25641
30	1689	25560
31	1745	25523
32	1801	25496
33	1809	24794
34	1865	24790
35	1871	24124
36	1938	24261
37	1995	24262
38	2049	24227
39	2055	23641
40	2113	23657
41	2170	23668
42	2222	23622
43	2276	23593
44	2329	23552
45	2381	23502
46	2437	23493
47	2490	23455
48	2543	23415
49	2609	23489
50	2663	23450
51	2720	23437
52	2775	23408
53	2831	23388
54	2888	23367
55	2940	23314
56	2994	23274
57	3050	23247
58	3104	23207
59	3158	23159
60	3212	23116
61	3268	23088
62	3324	23060
63	3377	23010
64	3431	22967
65	3486	22923
66	3540	22882
67	3597	22852
68	3650	22802
69	3702	22742
70	3758	22711
71	3812	22664
72	3865	22609
73	3924	22590
74	3978	22546
75	4005	22346
76	4058	22293
77	4114	22258
78	4167	22207
79	4222	22165
80	4275	22114
81	4328	22065
82	4383	22023
83	4437	21976
84	4493	21939
85	4549	21899
86	4603	21851
87	4657	21806
88	4710	21753
89	4767	21717
90	4822	21673
91	4881	21649
92	4938	21610
93	4994	21572
94	5049	21525
95	5109	21503
96	5164	21454
97	5221	21418
98	5278	21381
99	5335	21342
100	5390	21294
101	5446	21250
102	5502	21209
103	5556	21157
104	5613	21117
105	5668	21071
106	5722	21017
107	5776	20965
108	5829	20912
109	5888	20878
110	5945	20835
111	6000	20785
112	6054	20733
113	6110	20690
114	6165	20642
115	6219	20588
116	6275	20543
117	6331	20496
118	6386	20447
119	6444	20406
120	6498	20354
121	6553	20306
122	6610	20260
123	6666	20213
124	6720	20162
125	6777	20116
126	6830	20060
127	6885	20012
128	6941	19963
129	6997	19916
130	7054	19871
131	7108	19818
132	7163	19766
133	7232	19753
134	7288	19705
135	7345	19660
136	7402	19615
137	7459	19567
138	7513	19514
139	7570	19465
140	7625	19414
141	7680	19364
142	7734	19308
143	7790	19258
144	7846	19209
145	7899	19153
146	7958	19110
147	8021	19077
148	8082	19039
149	8148	19012
150	8211	18977
151	8275	18947
152	8341	18918
153	8403	18881
154	8462	18836
155	8523	18795
156	8584	18754
157	8637	18696
158	8691	18640
159	8747	18589
160	8807	18545
161	8866	18499
162	8871	18340
163	8926	18288
164	8982	18236
165	9038	18186
166	9098	18143
167	9158	18098
168	9217	18052
169	9273	18001
170	9331	17954
171	9389	17906
172	9449	17862
173	9509	17816
174	9568	17769
175	9625	17720
176	9683	17670
177	9742	17624
178	9800	17575
179	9856	17523
180	9912	17469
181	9966	17413
182	10022	17360
183	10081	17313
184	10139	17263
185	10196	17212
186	10269	17188
187	10325	17136
188	10379	17079
189	10441	17035
190	10497	16983
191	10553	16929
192	10611	16879
193	10673	16836
194	10729	16782
195	10791	16737
196	10865	16711
197	10929	16670
198	10991	16625
199	11055	16582
200	11117	16537
201	11179	16493
202	11240	16445
203	11301	16398
204	11361	16349
205	11422	16301
206	11482	16253
207	11539	16200
208	11598	16149
209	11657	16098
210	11713	16043
211	11770	15990
212	11824	15932
213	11879	15876
214	11939	15827
215	12001	15779
216	12059	15727
217	12118	15676
218	12176	15623
219	12236	15573
220	12293	15519
221	12350	15466
222	12406	15410
223	12462	15355
224	12515	15296
225	12571	15241
226	12626	15185
227	12682	15129
228	12738	15074
229	12793	15018
230	12851	14965
231	12907	14909
232	12963	14854
233	13017	14797
234	13072	14741
235	13125	14682
236	13184	14631
237	13238	14573
238	13294	14518
239	13356	14469
240	13413	14415
241	13469	14360
242	13531	14310
243	13588	14257
244	13642	14199
245	13700	14146
246	13756	14090
247	13811	14034
248	13867	13978
249	13924	13924
250	13980	13868
251	14038	13815
252	14094	13760
253	14162	13716
254	14222	13664
255	14282	13613
256	14337	13556
257	14392	13499
258	14448	13444
259	14504	13388
260	14559	13331
261	14613	13274
262	14669	13219
263	14728	13165
264	14787	13113
265	14844	13058
266	14899	13002
267	14958	12949
268	15013	12892
269	15069	12836
270	15127	12782
271	15186	12729
272	15244	12675
273	15301	12620
274	15357	12565
275	15418	12513
276	15472	12456
277	15529	12401
278	15586	12346
279	15642	12290
280	15709	12243
281	15767	12189
282	15823	12133
283	15880	12077
284	15937	12023
285	16007	11977
286	16082	11935
287	16179	11910
288	16253	11866
289	16314	11813
290	16377	11762
291	16432	11705
292	16489	11649
293	16542	11590
294	16604	11538
295	16660	11482
296	16715	11425
297	16772	11368
298	16828	11312
299	16888	11258
300	16944	11202
301	17002	11147
302	17061	11092
303	17125	11041
304	17188	10989
305	17251	10936
306	17313	10884
307	17375	10831
308	17436	10778
309	17499	10725
310	17561	10672
311	17622	10618
312	17681	10563
313	17738	10507
314	17792	10449
315	17849	10393
316	17903	10335
317	17962	10280
318	18035	10233
319	18092	10176
320	18147	10119
321	18206	10064
322	18264	10008
323	18326	9955
324	18381	9897
325	18444	9844
326	18501	9788
327	18561	9733
328	18620	9678
329	18680	9623
330	18737	9567
331	18794	9510
332	18853	9454
333	18911	9399
334	18969	9343
335	19034	9290
336	19087	9232
337	19143	9175
338	19199	9118
339	19259	9063
340	19319	9008
341	19375	8951
342	19431	8894
343	19489	8838
344	19542	8779
345	19598	8723
346	19657	8667
347	19711	8609
348	19766	8552
349	19822	8495
350	19878	8438
351	19933	8381
352	19991	8324
353	20047	8268
354	20105	8212
355	20161	8155
356	20216	8097
357	20278	8043
358	20332	7985
359	20388	7929
360	20445	7872
361	20502	7815
362	20556	7758
363	20612	7701
364	20667	7644
365	20723	7587
366	20780	7530
367	20835	7473
368	20890	7416
369	20947	7359
370	21003	7303
371	21064	7248
372	21122	7191
373	21180	7135
374	21233	7077
375	21289	7021
376	21347	6964
377	21403	6907
378	21461	6851
379	21517	6794
380	21572	6737
381	21626	6680
382	21684	6624
383	21743	6568
384	21799	6511
385	21855	6454
386	21911	6398
387	21969	6341
388	22028	6285
389	22085	6229
390	22144	6173
391	22200	6116
392	22258	6060
393	22315	6003
394	22374	5947
395	22430	5890
396	22485	5833
397	22551	5779
398	22608	5723
399	22667	5666
400	22723	5610
401	22780	5553
402	22838	5497
403	22895	5440
404	22952	5383
405	23006	5326
406	23063	5269
407	23119	5213
408	23173	5156
409	23227	5098
410	23283	5041
411	23338	4984
412	23395	4928
413	23450	4871
414	23508	4814
415	23564	4758
416	23621	4701
417	23674	4644
418	23733	4588
419	23791	4531
420	23849	4475
421	23907	4418
422	23961	4361
423	24023	4306
424	24080	4249
425	24139	4193
426	24198	4137
427	24255	4080
428	24311	4023
429	24369	3967
430	24425	3910
431	24480	3853
432	24539	3797
433	24595	3740
434	24656	3684
435	24711	3627
436	24770	3570
437	24825	3514
438	24881	3457
439	24937	3400
440	24994	3343
441	25057	3288
442	25113	3231
443	25171	3174
444	25226	3117
445	25282	3061
446	25339	3004
447	25394	2947
448	25452	2891
449	25512	2834
450	25569	2778
451	25626	2721
452	25683	2664
453	25737	2607
454	25800	2551
455	25853	2494
456	25908	2437
457	25964	2381
458	26019	2324
459	26075	2267
460	26136	2211
461	26190	2154
